[16:47:59]: Center of circle drawn at (940, 340).
[16:48:43]: Center of circle drawn at (920, 340).
[16:48:44]: Center of circle drawn at (900, 340).
[16:48:44]: Center of circle drawn at (880, 340).
[16:48:45]: Center of circle drawn at (860, 340).
[16:48:45]: Center of circle drawn at (840, 340).
[16:48:45]: Center of circle drawn at (840, 320).
[16:48:45]: Center of circle drawn at (840, 300).
[16:48:45]: Center of circle drawn at (840, 280).
[16:48:53]: Center of circle drawn at (840, 300).
[16:48:54]: Center of circle drawn at (840, 320).
[16:48:56]: Center of circle drawn at (820, 320).
[16:48:56]: Center of circle drawn at (800, 320).
[16:48:57]: Center of circle drawn at (780, 320).
[16:48:57]: Center of circle drawn at (760, 320).
[16:48:57]: Center of circle drawn at (740, 320).
[16:48:57]: Center of circle drawn at (720, 320).
[16:48:57]: Center of circle drawn at (700, 320).
[16:48:57]: Center of circle drawn at (680, 320).
[16:48:57]: Center of circle drawn at (660, 320).
[16:48:57]: Center of circle drawn at (660, 300).
[16:48:58]: Center of circle drawn at (660, 280).
[16:48:58]: Center of circle drawn at (660, 260).
[16:48:58]: Center of circle drawn at (660, 240).
[16:48:58]: Center of circle drawn at (660, 220).
[16:48:58]: Center of circle drawn at (660, 200).
[16:48:58]: Center of circle drawn at (660, 180).
[16:48:58]: Center of circle drawn at (660, 160).
[16:48:58]: Center of circle drawn at (660, 140).
[16:48:58]: Center of circle drawn at (660, 120).
[16:48:58]: Center of circle drawn at (660, 100).
[16:48:58]: Center of circle drawn at (660, 80).
[16:48:58]: Center of circle drawn at (660, 60).
[16:48:58]: Center of circle drawn at (680, 60).
[16:48:58]: Center of circle drawn at (700, 60).
[16:48:58]: Center of circle drawn at (720, 60).
[16:48:58]: Center of circle drawn at (740, 60).
[16:48:58]: Center of circle drawn at (760, 60).
[16:48:58]: Center of circle drawn at (780, 60).
[16:48:59]: Center of circle drawn at (800, 60).
[16:48:59]: Center of circle drawn at (820, 60).
[16:48:59]: Center of circle drawn at (840, 60).
[16:48:59]: Center of circle drawn at (860, 60).
[16:48:59]: Center of circle drawn at (880, 60).
[16:48:59]: Center of circle drawn at (900, 60).
[16:48:59]: Center of circle drawn at (920, 60).
[16:48:59]: Center of circle drawn at (940, 60).
[16:48:59]: Center of circle drawn at (960, 60).
[16:48:59]: Center of circle drawn at (980, 60).
[16:48:59]: Center of circle drawn at (1000, 60).
[16:48:59]: Center of circle drawn at (1020, 60).
[16:48:59]: Center of circle drawn at (1040, 60).
[16:48:59]: Center of circle drawn at (1060, 60).
[16:48:59]: Center of circle drawn at (1080, 60).
[16:48:59]: Center of circle drawn at (1100, 60).
[16:48:59]: Center of circle drawn at (1100, 80).
[16:48:59]: Center of circle drawn at (1100, 100).
[16:48:59]: Center of circle drawn at (1100, 120).
[16:49:00]: Center of circle drawn at (1100, 140).
[16:49:00]: Center of circle drawn at (1100, 160).
[16:49:00]: Center of circle drawn at (1100, 180).
[16:49:00]: Center of circle drawn at (1100, 200).
[16:49:00]: Center of circle drawn at (1100, 220).
[16:49:00]: Center of circle drawn at (1100, 240).
[16:49:00]: Center of circle drawn at (1100, 260).
[16:49:00]: Center of circle drawn at (1100, 280).
[16:49:00]: Center of circle drawn at (1120, 280).
[16:49:01]: Center of circle drawn at (1140, 280).
[16:49:01]: Center of circle drawn at (1160, 280).
[16:49:01]: Center of circle drawn at (1180, 280).
[16:49:01]: Center of circle drawn at (1200, 280).
[16:49:01]: Center of circle drawn at (1220, 280).
[16:49:01]: Center of circle drawn at (1220, 300).
[16:49:01]: Center of circle drawn at (1220, 320).
[16:49:01]: Center of circle drawn at (1220, 340).
[16:49:01]: Center of circle drawn at (1220, 360).
[16:49:01]: Center of circle drawn at (1220, 380).
[16:49:02]: Center of circle drawn at (1220, 400).
[16:49:02]: Center of circle drawn at (1220, 420).
[16:49:02]: Center of circle drawn at (1200, 420).
[16:49:02]: Center of circle drawn at (1180, 420).
[16:49:02]: Center of circle drawn at (1160, 420).
[16:49:02]: Center of circle drawn at (1140, 420).
[16:49:02]: Center of circle drawn at (1120, 420).
[16:49:02]: Center of circle drawn at (1100, 420).
[16:49:02]: Center of circle drawn at (1080, 420).
[16:49:02]: Center of circle drawn at (1060, 420).
[16:49:02]: Center of circle drawn at (1040, 420).
[16:49:02]: Center of circle drawn at (1020, 420).
[16:49:02]: Center of circle drawn at (1000, 420).
[16:49:03]: Center of circle drawn at (980, 420).
[16:49:03]: Center of circle drawn at (960, 420).
[16:49:03]: Center of circle drawn at (940, 420).
[16:49:03]: Center of circle drawn at (920, 420).
[16:49:03]: Center of circle drawn at (900, 420).
[16:49:03]: Center of circle drawn at (880, 420).
[16:49:03]: Center of circle drawn at (860, 420).
[16:49:03]: Center of circle drawn at (840, 420).
[16:49:03]: Center of circle drawn at (820, 420).
[16:49:03]: Center of circle drawn at (800, 420).
[16:49:03]: Center of circle drawn at (780, 420).
[16:49:03]: Center of circle drawn at (760, 420).
[16:49:03]: Center of circle drawn at (740, 420).
[16:49:03]: Center of circle drawn at (720, 420).
[16:49:03]: Center of circle drawn at (700, 420).
[16:49:03]: Center of circle drawn at (680, 420).
[16:49:03]: Center of circle drawn at (660, 420).
[16:49:03]: Center of circle drawn at (640, 420).
[16:49:03]: Center of circle drawn at (640, 400).
[16:49:03]: Center of circle drawn at (640, 380).
[16:49:03]: Center of circle drawn at (640, 360).
[16:49:03]: Center of circle drawn at (640, 340).
[16:49:03]: Center of circle drawn at (640, 320).
[16:49:04]: Center of circle drawn at (640, 300).
[16:49:04]: Center of circle drawn at (620, 300).
[16:49:04]: Center of circle drawn at (600, 300).
[16:49:04]: Center of circle drawn at (580, 300).
[16:49:04]: Center of circle drawn at (560, 300).
[16:49:04]: Center of circle drawn at (540, 300).
[16:49:04]: Center of circle drawn at (520, 300).
[16:49:04]: Center of circle drawn at (500, 300).
[16:49:05]: Center of circle drawn at (500, 280).
[16:49:05]: Center of circle drawn at (500, 260).
[16:49:05]: Center of circle drawn at (500, 240).
[16:49:05]: Center of circle drawn at (500, 220).
[16:49:05]: Center of circle drawn at (500, 200).
[16:49:05]: Center of circle drawn at (500, 180).
[16:49:05]: Center of circle drawn at (500, 160).
[16:49:05]: Center of circle drawn at (520, 160).
[16:49:06]: Center of circle drawn at (540, 160).
[16:49:06]: Center of circle drawn at (560, 160).
[16:49:06]: Center of circle drawn at (580, 160).
[16:49:06]: Center of circle drawn at (580, 140).
[16:49:07]: Center of circle drawn at (580, 120).
[16:49:07]: Center of circle drawn at (580, 100).
[16:49:07]: Center of circle drawn at (580, 80).
[16:49:07]: Center of circle drawn at (580, 60).
[16:49:07]: Center of circle drawn at (560, 60).
[16:49:07]: Center of circle drawn at (540, 60).
[16:49:07]: Center of circle drawn at (520, 60).
[16:49:07]: Center of circle drawn at (500, 60).
[16:49:07]: Center of circle drawn at (480, 60).
[16:49:07]: Center of circle drawn at (460, 60).
[16:49:07]: Center of circle drawn at (440, 60).
[16:49:07]: Center of circle drawn at (420, 60).
[16:49:07]: Center of circle drawn at (400, 60).
[16:49:07]: Center of circle drawn at (380, 60).
[16:49:07]: Center of circle drawn at (360, 60).
[16:49:07]: Center of circle drawn at (340, 60).
[16:49:08]: Center of circle drawn at (320, 60).
[16:49:08]: Center of circle drawn at (320, 80).
[16:49:08]: Center of circle drawn at (320, 100).
[16:49:08]: Center of circle drawn at (320, 120).
[16:49:08]: Center of circle drawn at (320, 140).
[16:49:08]: Center of circle drawn at (320, 160).
[16:49:08]: Center of circle drawn at (320, 180).
[16:49:08]: Center of circle drawn at (320, 200).
[16:49:08]: Center of circle drawn at (320, 220).
[16:49:08]: Center of circle drawn at (320, 240).
[16:49:08]: Center of circle drawn at (320, 260).
[16:49:08]: Center of circle drawn at (320, 280).
[16:49:45]: Center of circle drawn at (300, 280).
[16:53:40]: Exited successfully.
