[16:52:45]: Center of circle found at (760, 260).
[16:52:50]: Center of circle found at (740, 260).
[16:52:50]: Center of circle found at (720, 260).
[16:52:51]: Center of circle found at (700, 260).
[16:52:51]: Center of circle found at (680, 260).
[16:52:51]: Center of circle found at (660, 260).
[16:52:51]: Center of circle found at (640, 260).
[16:52:51]: Center of circle found at (620, 260).
[16:52:51]: Center of circle found at (600, 260).
[16:52:51]: Center of circle found at (580, 260).
[16:52:51]: Center of circle found at (560, 260).
[16:52:51]: Center of circle found at (540, 260).
[16:52:52]: Center of circle found at (540, 240).
[16:52:52]: Center of circle found at (540, 220).
[16:52:52]: Center of circle found at (540, 200).
[16:52:52]: Center of circle found at (540, 180).
[16:52:52]: Center of circle found at (540, 160).
[16:52:52]: Center of circle found at (540, 140).
[16:52:52]: Center of circle found at (540, 120).
[16:52:52]: Center of circle found at (540, 100).
[16:52:52]: Center of circle found at (540, 80).
[16:52:52]: Center of circle found at (540, 60).
[16:52:53]: Center of circle found at (560, 60).
[16:52:53]: Center of circle found at (580, 60).
[16:52:53]: Center of circle found at (600, 60).
[16:52:53]: Center of circle found at (620, 60).
[16:52:53]: Center of circle found at (640, 60).
[16:52:53]: Center of circle found at (660, 60).
[16:52:53]: Center of circle found at (680, 60).
[16:52:53]: Center of circle found at (700, 60).
[16:52:53]: Center of circle found at (720, 60).
[16:52:53]: Center of circle found at (740, 60).
[16:52:53]: Center of circle found at (760, 60).
[16:52:53]: Center of circle found at (780, 60).
[16:52:53]: Center of circle found at (800, 60).
[16:52:53]: Center of circle found at (820, 60).
[16:52:53]: Center of circle found at (840, 60).
[16:52:53]: Center of circle found at (860, 60).
[16:52:53]: Center of circle found at (880, 60).
[16:52:53]: Center of circle found at (900, 60).
[16:52:54]: Center of circle found at (920, 60).
[16:52:54]: Center of circle found at (940, 60).
[16:52:54]: Center of circle found at (960, 60).
[16:52:54]: Center of circle found at (980, 60).
[16:52:54]: Center of circle found at (1000, 60).
[16:52:54]: Center of circle found at (1020, 60).
[16:52:54]: Center of circle found at (1040, 60).
[16:52:54]: Center of circle found at (1060, 60).
[16:52:54]: Center of circle found at (1080, 60).
[16:52:54]: Center of circle found at (1100, 60).
[16:52:54]: Center of circle found at (1120, 60).
[16:52:54]: Center of circle found at (1140, 60).
[16:52:54]: Center of circle found at (1160, 60).
[16:52:54]: Center of circle found at (1180, 60).
[16:52:54]: Center of circle found at (1200, 60).
[16:52:54]: Center of circle found at (1220, 60).
[16:52:54]: Center of circle found at (1240, 60).
[16:52:54]: Center of circle found at (1260, 60).
[16:52:54]: Center of circle found at (1280, 60).
[16:52:54]: Center of circle found at (1300, 60).
[16:52:54]: Center of circle found at (1320, 60).
[16:52:54]: Center of circle found at (1340, 60).
[16:52:54]: Center of circle found at (1340, 60).
[16:52:54]: Center of circle found at (1340, 60).
[16:52:54]: Center of circle found at (1340, 60).
[16:52:54]: Center of circle found at (1340, 60).
[16:52:54]: Center of circle found at (1340, 60).
[16:52:54]: Center of circle found at (1340, 60).
[16:52:54]: Center of circle found at (1340, 60).
[16:52:55]: Center of circle found at (1340, 80).
[16:52:55]: Center of circle found at (1340, 100).
[16:52:55]: Center of circle found at (1340, 120).
[16:52:55]: Center of circle found at (1340, 140).
[16:52:55]: Center of circle found at (1340, 160).
[16:52:55]: Center of circle found at (1340, 180).
[16:52:55]: Center of circle found at (1340, 200).
[16:52:55]: Center of circle found at (1340, 220).
[16:52:55]: Center of circle found at (1340, 240).
[16:52:55]: Center of circle found at (1340, 260).
[16:52:55]: Center of circle found at (1340, 280).
[16:52:55]: Center of circle found at (1340, 300).
[16:52:55]: Center of circle found at (1340, 320).
[16:52:55]: Center of circle found at (1340, 340).
[16:52:55]: Center of circle found at (1340, 360).
[16:52:55]: Center of circle found at (1340, 380).
[16:52:56]: Center of circle found at (1340, 400).
[16:52:56]: Center of circle found at (1340, 420).
[16:52:56]: Center of circle found at (1320, 420).
[16:52:56]: Center of circle found at (1300, 420).
[16:52:56]: Center of circle found at (1300, 400).
[16:52:56]: Center of circle found at (1280, 400).
[16:52:56]: Center of circle found at (1260, 400).
[16:52:57]: Center of circle found at (1260, 380).
[16:52:57]: Center of circle found at (1240, 380).
[16:52:57]: Center of circle found at (1240, 360).
[16:52:57]: Center of circle found at (1220, 360).
[16:52:57]: Center of circle found at (1220, 340).
[16:52:57]: Center of circle found at (1200, 340).
[16:52:57]: Center of circle found at (1200, 320).
[16:52:58]: Center of circle found at (1200, 300).
[16:52:58]: Center of circle found at (1180, 300).
[16:52:58]: Center of circle found at (1180, 280).
[16:52:59]: Center of circle found at (1180, 280).
[16:52:59]: Exited successfully.
